timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll,AHR2.Yaw,GPS[0].Spd
452827.692,NaN,NaN,0.3,184.06,NaN
452927.692,NaN,NaN,0.33,183.98,NaN
453027.692,369373251,355633606,0.43,183.9,0.03623534366488457
453127.692,369373251,355633606,0.43,183.93,0.03623534366488457
453227.692,369373252,355633607,0.37,183.89,0.047381434589624405
453327.692,369373252,355633607,0.36,183.83,0.047381434589624405
453427.692,369373252,355633607,0.36,183.78,0.060605280101299286
453527.692,369373252,355633607,0.36,183.82,0.060605280101299286
453627.692,369373252,355633608,0.35,183.93,0.06830812990665436
453727.692,369373252,355633608,0.38,183.98,0.06830812990665436
453827.692,369373252,355633610,0.39,183.99,0.10301942378282547
453927.692,369373252,355633610,0.35,183.99,0.10301942378282547
454027.692,369373251,355633610,0.3,184.09,0.06806614995002747
454127.692,369373251,355633610,0.33,184.15,0.06806614995002747
454227.692,369373251,355633610,0.39,184.2,0.051478154957294464
454327.692,369373251,355633610,0.41,184.19,0.051478154957294464
454427.692,369373250,355633609,0.37,184.16,0.04134005308151245
454527.692,369373250,355633609,0.33,184.17,0.04134005308151245
454627.692,369373250,355633610,0.33,184.17,0.015811389312148094
454727.692,369373250,355633610,0.27,184.3,0.015811389312148094
454827.692,369373247,355633608,0.2,184.39,0.02340940199792385
454927.692,369373247,355633608,0.19,184.41,0.02340940199792385
455027.692,369373245,355633607,0.26,184.43,0.06389053165912628
455127.692,369373245,355633607,0.29,184.5,0.06389053165912628
455227.692,369373245,355633606,0.23,184.65,0.03178049996495247
455327.692,369373245,355633606,0.22,184.68,0.03178049996495247
455427.692,369373245,355633606,0.3,184.66,0.07178439944982529
455527.692,369373245,355633606,0.33,184.68,0.07178439944982529
455627.692,369373246,355633607,0.31,184.79,0.06447480618953705
455727.692,369373246,355633607,0.25,184.85,0.06447480618953705
455827.692,369373244,355633609,0.08,184.86,0.10295630991458893
455927.692,369373244,355633609,0,184.85,0.10295630991458893
456027.692,369373244,355633609,0.01,184.9,0.09390420466661453
456127.692,369373244,355633609,-0.09,184.9,0.09390420466661453
456227.692,369373244,355633608,-0.15,184.66,0.03901281952857971
456327.692,369373244,355633608,0.020000000000000004,184.27,0.03901281952857971
456427.692,369373244,355633609,0.05,183.8,0.07130919396877289
456527.692,369373244,355633609,-0.1,183.74,0.07130919396877289
456627.692,369373243,355633609,-0.23,183.81,0.006403124425560236
456727.692,369373243,355633609,-0.12,183.83,0.006403124425560236
456827.692,369373241,355633603,0.13,183.88,0.05860034376382828
456927.692,369373241,355633603,0.25,183.99,0.05860034376382828
457027.692,369373241,355633603,0.32,184.33,0.014764823950827122
457127.692,369373241,355633603,0.45,184.54,0.014764823950827122
457227.692,369373240,355633603,0.89,184.43,0.068796806037426
457327.692,369373240,355633603,1.1,184.2,0.068796806037426
457427.692,369373240,355633603,0.68,183.89,0.03701351210474968
457527.692,369373240,355633603,0.27,183.78,0.03701351210474968
457627.692,369373240,355633603,0.36,183.65,0.04123105853796005
457727.692,369373240,355633603,0.64,183.58,0.04123105853796005
457827.692,369373240,355633604,0.54,183.53,0.08115417510271072
457927.692,369373240,355633604,0.23,183.46,0.08115417510271072
458027.692,369373242,355633604,0,183.15,0.052611786872148514
458127.692,369373242,355633604,-0.05,182.96,0.052611786872148514
458227.692,369373243,355633605,0.020000000000000004,182.93,0.04254409670829773
458327.692,369373243,355633605,0.2,183.04,0.04254409670829773
458427.692,369373244,355633606,0.38,183.18,0.15742935240268707
458527.692,369373244,355633606,0.31,183.24,0.15742935240268707
458627.692,369373244,355633605,0.22,183.23,0.0961301177740097
458727.692,369373244,355633605,0.23,183.22,0.0961301177740097
458827.692,369373244,355633609,0.26,183.24,0.032756682485342026
458927.692,369373244,355633609,0.22,183.28,0.032756682485342026
459027.692,369373245,355633609,0.13,183.23,0.04940648004412651
459127.692,369373245,355633609,0.13,183.18,0.04940648004412651
459227.692,369373243,355633608,0.14,183.27,0.006708203814923763
459327.692,369373243,355633608,0.16,183.34,0.006708203814923763
459427.692,369373243,355633608,0.14,183.3,0.02140093594789505
459527.692,369373243,355633608,0,183.31,0.02140093594789505
459627.692,369373243,355633609,-0.32,183.38,0.05508176237344742
459727.692,369373243,355633609,-0.47,183.4,0.05508176237344742
459827.692,369373245,355633612,-0.44,183.35,0.09873703122138977
459927.692,369373245,355633612,-0.33,183.3,0.09873703122138977
460027.692,369373245,355633616,-0.31,183.32,0.06332456320524216
460127.692,369373245,355633616,-0.39,183.39,0.06332456320524216
460227.692,369373246,355633615,-0.39,183.42,0.01838477700948716
460327.692,369373246,355633615,-0.31,183.38,0.01838477700948716
460427.692,369373246,355633616,-0.3,183.36,0.07615773379802704
460527.692,369373246,355633616,-0.38,183.39,0.07615773379802704
460627.692,369373246,355633615,-0.42,183.39,0.06466065347194672
460727.692,369373246,355633615,-0.37,183.35,0.06466065347194672
460827.692,369373250,355633617,-0.33,183.34,0.1117720901966095
460927.692,369373250,355633617,-0.36,183.38,0.1117720901966095
461027.692,369373251,355633619,-0.39,183.42,0.1068878024816513
461127.692,369373251,355633619,-0.37,183.41,0.1068878024816513
