timestamp(ms),ATT.Roll,GPS[0].Lat,GPS[0].Lng
1003205.827,2.63,NaN,NaN
1003305.827,2.59,NaN,NaN
1003405.827,2.6,398170309,301207065
1003505.827,2.64,398170309,301207065
1003605.827,2.71,398170310,301207065
1003705.827,2.74,398170310,301207065
1003805.827,2.59,398170310,301207064
1003905.827,2.55,398170310,301207064
1004005.827,2.63,398170311,301207063
1004105.827,2.64,398170311,301207063
1004205.827,2.65,398170312,301207063
1004305.827,2.71,398170312,301207063
1004405.827,2.71,398170312,301207063
1004505.827,2.63,398170312,301207063
1004605.827,2.58,398170313,301207063
1004705.827,2.62,398170313,301207063
1004805.827,2.67,398170313,301207063
1004905.827,2.68,398170313,301207063
1005005.827,2.71,398170313,301207063
1005105.827,2.7,398170313,301207063
1005205.827,2.61,398170313,301207063
1005305.827,2.56,398170313,301207063
1005405.827,2.6,398170313,301207063
1005505.827,2.67,398170313,301207063
1005605.827,2.74,398170314,301207062
1005705.827,2.76,398170314,301207062
1005805.827,2.71,398170316,301207062
1005905.827,2.65,398170316,301207062
1006005.827,2.56,398170316,301207061
1006105.827,2.55,398170316,301207061
1006205.827,2.61,398170316,301207061
1006305.827,2.64,398170316,301207061
1006405.827,2.65,398170316,301207060
1006505.827,2.64,398170316,301207060
1006605.827,2.61,398170316,301207060
1006705.827,2.59,398170316,301207060
1006805.827,2.62,398170317,301207059
1006905.827,2.66,398170317,301207059
1007005.827,2.69,398170317,301207059
1007105.827,2.68,398170317,301207059
1007205.827,2.63,398170316,301207059
1007305.827,2.6,398170316,301207059
1007405.827,2.59,398170316,301207059
1007505.827,2.62,398170316,301207059
1007605.827,2.67,398170316,301207058
1007705.827,2.68,398170316,301207058
1007805.827,2.64,398170315,301207058
1007905.827,2.6,398170315,301207058
1008005.827,2.56,398170316,301207058
1008105.827,2.56,398170316,301207058
1008205.827,2.6,398170315,301207059
1008305.827,2.63,398170315,301207059
1008405.827,2.64,398170314,301207059
1008505.827,2.62,398170314,301207059
1008605.827,2.57,398170313,301207059
1008705.827,2.55,398170313,301207059
1008805.827,2.55,398170312,301207060
1008905.827,2.59,398170312,301207060
1009005.827,2.61,398170313,301207060
1009105.827,2.61,398170313,301207060
1009205.827,2.6,398170312,301207059
1009305.827,2.58,398170312,301207059
1009405.827,2.55,398170312,301207060
1009505.827,2.55,398170312,301207060
1009605.827,2.58,398170311,301207060
1009705.827,2.59,398170311,301207060
1009805.827,2.58,398170311,301207062
1009905.827,2.58,398170311,301207062
1010005.827,2.57,398170311,301207062
1010105.827,2.57,398170311,301207063
1010205.827,2.58,398170312,301207063
1010305.827,2.6,398170312,301207063
1010405.827,2.63,398170314,301207063
1010505.827,2.63,398170314,301207063
1010605.827,2.62,398170316,301207064
1010705.827,2.61,398170316,301207064
1010805.827,2.6,398170319,301207064
1010905.827,2.61,398170319,301207064
1011005.827,2.63,398170321,301207064
1011105.827,2.64,398170321,301207064
1011205.827,2.65,398170323,301207064
1011305.827,2.65,398170323,301207064
1011405.827,2.65,398170324,301207065
1011505.827,2.66,398170324,301207065
1011605.827,2.66,398170323,301207064
1011705.827,2.66,398170323,301207064
1011805.827,2.65,398170323,301207063
1011905.827,2.64,398170323,301207063
1012005.827,2.62,398170323,301207063
1012105.827,2.62,398170323,301207063
1012205.827,2.64,398170324,301207063
1012305.827,2.65,398170324,301207063
1012405.827,2.66,398170326,301207063
1012505.827,2.66,398170326,301207063
1012605.827,2.65,398170326,301207063
1012705.827,2.65,398170326,301207063
1012805.827,2.65,398170326,301207063
1012905.827,2.65,398170326,301207063
1013005.827,2.65,398170326,301207063
1013105.827,2.65,398170328,301207064
1013205.827,2.64,398170329,301207064
1013305.827,2.64,398170329,301207064
1013405.827,2.65,398170331,301207065
1013505.827,2.65,398170331,301207065
1013605.827,2.67,398170332,301207065
1013705.827,2.67,398170332,301207065
1013805.827,2.66,398170333,301207064
1013905.827,2.64,398170333,301207064
1014005.827,2.63,398170334,301207064
1014105.827,2.64,398170334,301207064
1014205.827,2.66,398170335,301207064
1014305.827,2.67,398170335,301207064
1014405.827,2.68,398170335,301207062
1014505.827,2.67,398170335,301207062
1014605.827,2.64,398170335,301207061
1014705.827,2.63,398170335,301207061
1014805.827,2.63,398170336,301207061
1014905.827,2.65,398170336,301207061
1015005.827,2.67,398170337,301207061
1015105.827,2.67,398170337,301207061
1015205.827,2.65,398170337,301207061
1015305.827,2.63,398170337,301207061
1015405.827,2.61,398170338,301207060
1015505.827,2.61,398170338,301207060
1015605.827,2.63,398170339,301207060
1015705.827,2.63,398170339,301207060
1015805.827,2.62,398170340,301207060
1015905.827,2.6,398170340,301207060
1016005.827,2.56,398170340,301207060
1016105.827,2.54,398170340,301207060
1016205.827,2.54,398170340,301207060
1016305.827,2.57,398170340,301207060
1016405.827,2.62,398170339,301207061
1016505.827,2.63,398170339,301207061
1016605.827,2.62,398170339,301207061
1016705.827,2.6,398170339,301207061
1016805.827,2.57,398170340,301207061
1016905.827,2.58,398170340,301207061
1017005.827,2.6,398170340,301207061
1017105.827,2.62,398170342,301207062
1017205.827,2.61,398170342,301207063
1017305.827,2.59,398170342,301207063
1017405.827,2.58,398170342,301207065
1017505.827,2.58,398170342,301207065
1017605.827,2.61,398170341,301207065
1017705.827,2.62,398170341,301207065
1017805.827,2.61,398170342,301207065
1017905.827,2.61,398170342,301207065
1018005.827,2.58,398170342,301207065
1018105.827,2.55,398170343,301207065
1018205.827,2.54,398170345,301207065
1018305.827,2.54,398170345,301207065
1018405.827,2.55,398170347,301207065
1018505.827,2.56,398170347,301207065
1018605.827,2.58,398170349,301207065
1018705.827,2.59,398170349,301207065
1018805.827,2.57,398170351,301207066
1018905.827,2.57,398170351,301207066
1019005.827,2.6,398170351,301207066
1019105.827,2.63,398170352,301207067
1019205.827,2.66,398170353,301207068
1019305.827,2.66,398170353,301207068
1019405.827,2.61,398170356,301207069
1019505.827,2.56,398170356,301207069
1019605.827,2.53,398170357,301207069
1019705.827,2.55,398170357,301207069
1019805.827,2.59,398170358,301207070
1019905.827,2.61,398170358,301207070
1020005.827,2.63,398170358,301207070
1020105.827,2.59,398170358,301207071
1020205.827,2.52,398170359,301207072
1020305.827,2.49,398170359,301207072
1020405.827,2.5,398170359,301207072
1020505.827,2.55,398170359,301207072
1020605.827,2.63,398170360,301207073
1020705.827,2.67,398170360,301207073
1020805.827,2.69,398170362,301207074
1020905.827,2.66,398170362,301207074
1021005.827,2.62,398170362,301207074
1021105.827,2.62,398170363,301207075
1021205.827,2.65,398170364,301207075
1021305.827,2.67,398170364,301207075
1021405.827,2.7,398170365,301207075
1021505.827,2.69,398170365,301207075
1021605.827,2.64,398170367,301207075
1021705.827,2.62,398170367,301207075
1021805.827,2.64,398170368,301207074
1021905.827,2.65,398170368,301207074
1022005.827,2.66,398170369,301207075
1022105.827,2.66,398170369,301207075
1022205.827,2.65,398170370,301207076
1022305.827,2.63,398170370,301207076
1022405.827,2.6,398170371,301207077
1022505.827,2.6,398170371,301207077
1022605.827,2.62,398170372,301207077
1022705.827,2.63,398170372,301207077
1022805.827,2.62,398170372,301207078
1022905.827,2.59,398170372,301207078
1023005.827,2.53,398170373,301207077
1023105.827,2.52,398170373,301207077
1023205.827,2.54,398170374,301207077
1023305.827,2.58,398170374,301207077
1023405.827,2.61,398170375,301207077
1023505.827,2.62,398170375,301207077
1023605.827,2.61,398170376,301207075
1023705.827,2.59,398170376,301207075
1023805.827,2.7,398170375,301207076
1023905.827,2.68,398170375,301207076
1024005.827,2.55,398170375,301207077
1024105.827,2.49,398170375,301207077
1024205.827,2.53,398170376,301207077
1024305.827,2.6,398170376,301207077
1024405.827,2.69,398170376,301207077
1024505.827,2.77,398170376,301207077
1024605.827,2.64,398170375,301207076
1024705.827,2.53,398170375,301207076
1024805.827,2.46,398170373,301207076
1024905.827,2.4,398170373,301207076
1025005.827,2.49,398170373,301207076
1025105.827,2.67,398170373,301207076
1025205.827,2.78,398170374,301207077
1025305.827,2.72,398170374,301207077
1025405.827,2.67,398170375,301207077
1025505.827,2.58,398170375,301207077
1025605.827,2.33,398170376,301207076
1025705.827,2.2,398170376,301207076
1025805.827,2.29,398170376,301207077
1025905.827,2.48,398170376,301207077
1026005.827,2.64,398170376,301207078
1026105.827,2.55,398170376,301207078
1026205.827,2.41,398170376,301207078
1026305.827,2.34,398170376,301207078
1026405.827,2.2,0,0
1026505.827,2.29,0,0
1026605.827,0,0,0
1026705.827,0,0,0
1026805.827,0,0,0
1026905.827,0,0,0
1027005.827,0,0,0
1027105.827,0,0,0
1027205.827,0,0,0
1027305.827,0,0,0
1027405.827,0,0,0
1027505.827,0,0,0
1027605.827,0,0,0
1027705.827,0,0,0
1027805.827,0,0,0
1027905.827,0,0,0
1028005.827,0,0,0
1028105.827,0,0,0
1028205.827,0,0,0
1028305.827,0,0,0
1028405.827,0,0,0
1028505.827,0,0,0
1028605.827,0,0,0
1028705.827,0,0,0
1028805.827,0,0,0
1028905.827,0,0,0
1029005.827,0,0,0
1029105.827,0,0,0
1029205.827,0,0,0
1029305.827,0,0,0
1029405.827,0,0,0
1029505.827,0,0,0
1029605.827,0,0,0
1029705.827,0,0,0
1029805.827,2.63,0,0
1029905.827,2.65,0,0
1030005.827,2.66,398170398,301207075
1030105.827,2.67,398170398,301207075
1030205.827,2.66,398170412,301207077
1030305.827,2.65,398170412,301207077
1030405.827,2.58,398170418,301207078
1030505.827,2.48,398170418,301207078
1030605.827,2.16,398170421,301207079
1030705.827,1.99,398170421,301207079
1030805.827,1.73,398170429,301207079
1030905.827,1.32,398170429,301207079
1031005.827,0.41,398170429,301207079
1031105.827,-0.05,398170443,301207075
1031205.827,0.2,398170467,301207059
1031305.827,0.27,398170467,301207059
1031405.827,0.18,398170511,301207027
1031505.827,0.23,398170511,301207027
1031605.827,0.24,398170577,301206982
1031705.827,0.27,398170577,301206982
1031805.827,-0.18,398170666,301206930
1031905.827,-0.38,398170666,301206930
1032005.827,-0.14,398170779,301206874
1032105.827,0.28,398170779,301206874
1032205.827,1.09,398170911,301206821
1032305.827,1.76,398170911,301206821
1032405.827,2.73,398171060,301206771
1032505.827,3.97,398171060,301206771
1032605.827,5.07,398171225,301206727
1032705.827,4.22,398171225,301206727
1032805.827,1.63,398171409,301206690
1032905.827,0.21999999999999997,398171409,301206690
1033005.827,-1.29,398171409,301206690
1033105.827,-1.07,398171608,301206657
1033205.827,0,398171817,301206624
1033305.827,0.16,398171817,301206624
1033405.827,-1.6,398172038,301206593
1033505.827,-3.82,398172038,301206593
1033605.827,-4.41,398172270,301206561
1033705.827,-4.53,398172270,301206561
1033805.827,-4,398172513,301206522
1033905.827,-3.78,398172513,301206522
1034005.827,-2.59,398172513,301206522
1034105.827,-2.16,398172762,301206476
1034205.827,-5.07,398173021,301206426
1034305.827,-8.32,398173021,301206426
1034405.827,-12.45,398173288,301206369
1034505.827,-13.57,398173288,301206369
1034605.827,-14.9,398173562,301206302
1034705.827,-15.97,398173562,301206302
1034805.827,-17.35,398173842,301206225
1034905.827,-17.61,398173842,301206225
1035005.827,-17.19,398174125,301206134
1035105.827,-18.36,398174125,301206134
