timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll
501457.872,NaN,NaN,1.36
501557.872,398176263,301203458,1.28
501657.872,398176263,301203458,1.72
501757.872,398176269,301203454,1.65
501857.872,398176269,301203454,0.3400000000000001
501957.872,398176290,301203440,-0.15
502057.872,398176290,301203440,-1.26
502157.872,398176332,301203414,-0.29
502257.872,398176332,301203414,0.24
502357.872,398176395,301203376,0.6
502457.872,398176395,301203376,1.05
502557.872,398176476,301203332,0.69
502657.872,398176476,301203332,-0.46
502757.872,398176578,301203283,-0.52
502857.872,398176578,301203283,-0.07
502957.872,398176698,301203233,0.12
503057.872,398176698,301203233,-0.43
503157.872,398176832,301203186,-0.42
503257.872,398176832,301203186,-0.17
503357.872,398176979,301203146,-0.57
503457.872,398176979,301203146,-1.34
503557.872,398177136,301203109,-3.8
503657.872,398177136,301203109,-5.24
503757.872,398177301,301203068,-3.59
503857.872,398177301,301203068,-0.17999999999999994
503957.872,398177474,301203025,0.30999999999999994
504057.872,398177474,301203025,-1.88
504157.872,398177654,301202980,-2.46
504257.872,398177654,301202980,-2.18
504357.872,398177840,301202931,-3.23
504457.872,398177840,301202931,-0.3799999999999999
504557.872,398178037,301202878,-0.07000000000000006
504657.872,398178037,301202878,-0.75
504757.872,398178243,301202821,-1.05
504857.872,398178243,301202821,-2.36
504957.872,398178454,301202759,-4.36
505057.872,398178454,301202759,-6.05
505157.872,398178671,301202690,-4.96
505257.872,398178671,301202690,-4.69
505357.872,398178892,301202617,-6.45
505457.872,398178892,301202617,-6.59
505557.872,398179117,301202538,-6.93
505657.872,398179117,301202538,-7.33
505757.872,398179343,301202455,-8.22
505857.872,398179343,301202455,-7.54
505957.872,398179571,301202366,-8.48
506057.872,398179571,301202366,-7.55
506157.872,398179796,301202269,-7.35
506257.872,398179796,301202269,-6.69
506357.872,398180018,301202164,-6.28
506457.872,398180018,301202164,-4.35
506557.872,398180240,301202056,-4.66
506657.872,398180240,301202056,-4.62
506757.872,398180463,301201948,-5.41
506857.872,398180463,301201948,-6.77
506957.872,398180687,301201838,-7.67
507057.872,398180687,301201838,-8.06
507157.872,398180909,301201720,-7.27
507257.872,398180909,301201720,-5.11
507357.872,398181129,301201596,-1.0700000000000003
507457.872,398181129,301201596,-1.01
507557.872,398181350,301201471,-1.81
507657.872,398181350,301201471,-1.44
507757.872,398181350,301201471,-0.32
507857.872,398181572,301201347,-0.31
507957.872,398181795,301201226,-1.67
508057.872,398181795,301201226,0
508157.872,398182020,301201105,1.34
508257.872,398182020,301201105,0.64
508357.872,398182247,301200980,0.45
508457.872,398182247,301200980,1.05
508557.872,398182475,301200852,1.52
508657.872,398182475,301200852,0.7600000000000001
508757.872,398182475,301200852,-2.04
508857.872,398182706,301200721,-0.74
508957.872,398182938,301200589,1.24
509057.872,398182938,301200589,2.19
509157.872,398183174,301200460,1.66
509257.872,398183174,301200460,0.71
509357.872,398183412,301200334,-1.58
509457.872,398183412,301200334,-1.32
509557.872,398183652,301200205,-2.14
509657.872,398183652,301200205,-3.03
509757.872,398183652,301200205,-3.28
509857.872,398183893,301200071,-2.93
509957.872,398184135,301199935,-1.29
510057.872,398184135,301199935,-0.47
510157.872,398184378,301199798,0.26
510257.872,398184378,301199798,0.84
510357.872,398184624,301199661,0.06
510457.872,398184624,301199661,-0.63
510557.872,398184870,301199524,-1.43
510657.872,398184870,301199524,-1.96
510757.872,398184870,301199524,-1.93
510857.872,398185118,301199385,-2.21
510957.872,398185368,301199244,-2.65
511057.872,398185368,301199244,-2.02
511157.872,398185618,301199102,-1.86
511257.872,398185618,301199102,-0.86
511357.872,398185869,301198963,-1.01
511457.872,398185869,301198963,-1.81
511557.872,398186119,301198823,-2.87
511657.872,398186119,301198823,-2.44
511757.872,398186119,301198823,-0.45999999999999996
511857.872,398186366,301198678,1.7599999999999998
511957.872,398186612,301198532,2.57
512057.872,398186612,301198532,2.49
512157.872,398186858,301198390,2.33
512257.872,398186858,301198390,1.12
512357.872,398187104,301198251,-0.39999999999999997
512457.872,398187104,301198251,-1
512557.872,398187351,301198110,-0.6200000000000001
512657.872,398187351,301198110,0.12000000000000001
512757.872,398187351,301198110,2.34
512857.872,398187598,301197968,2.36
512957.872,398187844,301197827,2.39
513057.872,398187844,301197827,1.85
513157.872,398188090,301197689,1.79
513257.872,398188090,301197689,1.53
513357.872,398188336,301197552,1.12
513457.872,398188336,301197552,-0.06999999999999984
513557.872,398188582,301197413,-3.6
513657.872,398188582,301197413,-5.74
513757.872,398188582,301197413,-4.84
513857.872,398188829,301197273,-4
513957.872,398189078,301197132,-2.67
514057.872,398189078,301197132,-2.42
514157.872,398189326,301196991,-7.33
514257.872,398189326,301196991,-13.59
514357.872,398189569,301196838,-22.18
514457.872,398189569,301196838,-27.03
514557.872,398189808,301196666,-31.07
514657.872,398189808,301196666,-32.62
514757.872,398189808,301196666,-34.61
514857.872,398190042,301196473,-35.64
514957.872,398190262,301196254,-36.38
515057.872,398190262,301196254,-37.21
515157.872,398190463,301196015,-38.67
515257.872,398190463,301196015,-39.13
515357.872,398190644,301195760,-38.88
515457.872,398190644,301195760,-38.26
515557.872,398190806,301195491,-38.38
515657.872,398190806,301195491,-39.11
515757.872,398190950,301195212,-38.05
515857.872,398190950,301195212,-37.24
515957.872,398191075,301194922,-37.22
516057.872,398191075,301194922,-36.25
516157.872,398191184,301194625,-35.45
516257.872,398191184,301194625,-34.42
516357.872,398191277,301194321,-32.67
516457.872,398191277,301194321,-32.35
516557.872,398191354,301194012,-32.4
516657.872,398191354,301194012,-32.92
516757.872,398191413,301193694,-36.47
516857.872,398191413,301193694,-38.71
516957.872,398191454,301193368,-37.7
517057.872,398191454,301193368,-36.22
517157.872,398191474,301193034,-35.48
517257.872,398191474,301193034,-35.4
517357.872,398191469,301192692,-36.99
517457.872,398191469,301192692,-37.83
517557.872,398191436,301192341,-38.14
517657.872,398191436,301192341,-37.98
517757.872,398191436,301192341,-38.06
517857.872,398191372,301191984,-38.44
517957.872,398191277,301191626,-38.71
518057.872,398191277,301191626,-39.59
518157.872,398191153,301191270,-41.03
518257.872,398191153,301191270,-41.5
518357.872,398190999,301190921,-42.45
518457.872,398190999,301190921,-42.88
518557.872,398190813,301190582,-42.33
518657.872,398190813,301190582,-42.31
518757.872,398190599,301190258,-42.98
518857.872,398190599,301190258,-43.68
518957.872,398190359,301189953,-43.68
519057.872,398190359,301189953,-43.09
519157.872,398190095,301189667,-42.2
519257.872,398190095,301189667,-41.29
519357.872,398189812,301189401,-39.95
519457.872,398189812,301189401,-40.06
519557.872,398189511,301189159,-41.9
519657.872,398189511,301189159,-41.85
519757.872,398189511,301189159,-40.88
519857.872,398189190,301188943,-40.19
519957.872,398188850,301188758,-39.12
520057.872,398188850,301188758,-38.03
520157.872,398188493,301188611,-36.57
520257.872,398188493,301188611,-35.66
520357.872,398188124,301188505,-34.13
520457.872,398188124,301188505,-32.74
520557.872,398187749,301188434,-30.36
520657.872,398187749,301188434,-28.82
520757.872,398187749,301188434,-27.07
520857.872,398187372,301188394,-25.76
520957.872,398186996,301188377,-23.87
521057.872,398186996,301188377,-23.41
521157.872,398186622,301188379,-22.22
521257.872,398186622,301188379,-21.41
521357.872,398186249,301188397,-19.79
521457.872,398186249,301188397,-18.68
521557.872,398185879,301188429,-17.47
521657.872,398185879,301188429,-16.73
521757.872,398185879,301188429,-15.73
521857.872,398185510,301188475,-15.18
521957.872,398185144,301188533,-14.61
522057.872,398185144,301188533,-14.54
522157.872,398184779,301188603,-14.29
522257.872,398184779,301188603,-13.83
522357.872,398184414,301188687,-13.78
522457.872,398184414,301188687,-13
522557.872,398184048,301188786,-12.86
522657.872,398184048,301188786,-12.56
522757.872,398184048,301188786,-13.06
522857.872,398183686,301188898,-14.47
522957.872,398183327,301189019,-13.04
523057.872,398183327,301189019,-11.12
523157.872,398182972,301189146,-9.89
523257.872,398182972,301189146,-9.48
523357.872,398182619,301189279,-10.01
523457.872,398182619,301189279,-9.72
523557.872,398182270,301189421,-9.56
523657.872,398182270,301189421,-9.68
523757.872,398182270,301189421,-8.06
523857.872,398181922,301189569,-7.43
523957.872,398181575,301189724,-8.73
524057.872,398181575,301189724,-10.03
